article,revenue,cumulative_revenue,cumulative_percentage,ABC_class
TRADITIONAL BAGUETTE,137196.55,137196.55,25.721200670342842,A
FORMULE SANDWICH,35090.0,172286.55,32.29976938451481,A
CROISSANT,26514.65,198801.19999999998,37.27065701509959,A
PAIN AU CHOCOLAT,26025.05,224826.24999999997,42.14975589554305,A
BANETTE,23806.65,248632.89999999997,46.61295574961093,A
BAGUETTE,19438.25,268071.14999999997,50.25718097925623,A
SPECIAL BREAD,13440.6,281511.74999999994,52.77698464581933,A
SANDWICH COMPLET,13345.0,294856.74999999994,55.278865509046035,A
TRAITEUR,12368.4,307225.14999999997,57.597656312248226,A
GRAND FAR BRETON,10730.0,317955.14999999997,59.60928476203635,A
TARTELETTE,9660.6,327615.74999999994,61.42042528412611,A
BRIOCHE,9274.0,336889.74999999994,63.15908718937635,A
VIK BREAD,9254.7,346144.44999999995,64.89413078809528,A
CEREAL BAGUETTE,8946.65,355091.1,66.57142209008009,A
GD KOUIGN AMANN,8067.5,363158.6,68.08389296786814,A
CAMPAGNE,7963.4,371122.0,69.5768474876298,A
BOULE 400G,7346.5,378468.5,70.95414743230533,A
MOISSON,6948.3,385416.8,72.25679402668212,A
ECLAIR,6815.7,392232.5,73.53458116789562,A
SAND JB EMMENTAL,6646.0,398878.5,74.78055345841675,A
COMPLET,5779.7,404658.2,75.86411440447831,A
KOUIGN AMANN,4820.5,409478.7,76.76784739070418,A
PAIN BANETTE,4418.9,413897.60000000003,77.59628960475533,A
DIVERS VIENNOISERIE,4293.75,418191.35000000003,78.40126906945969,A
FINANCIER X5,4130.0,422321.35000000003,79.17554917175465,A
PAIN AUX RAISINS,3961.2999999999997,426282.65,79.91820190037959,A
TARTE FRUITS 6P,3608.0,429890.65,80.59461899700919,B
TARTE FRUITS 4P,3570.0,433460.65,81.26391196678958,B
COOKIE,3515.45,436976.10000000003,81.92297806500092,B
COUPE,3486.15,440462.25000000006,82.57655108645748,B
BOULE 200G,3483.35,443945.60000000003,83.22959917225147,B
CROISSANT AMANDES,3415.7,447361.30000000005,83.86996443748365,B
PAIN CHOCO AMANDES,2961.8,450323.10000000003,84.42523388227232,B
DIVERS PATISSERIE,2838.95,453162.05000000005,84.95747177486561,B
BOISSON 33CL,2832.0,455994.05000000005,85.48840670215358,B
CHAUSSON AUX POMMES,2816.7,458810.75000000006,86.01647323099965,B
PAIN,2798.0499999999997,461608.80000000005,86.54104331337892,B
PARIS BREST,2652.2000000000003,464261.00000000006,87.03826987204883,B
SEIGLE,2609.7,466870.70000000007,87.52752865726896,B
TARTELETTE FRAISE,2560.5,469431.20000000007,88.00756357298961,B
PLAT 7.60E,2500.4,471931.6000000001,88.47633111966718,B
BAGUETTE GRAINE,2473.4,474405.0000000001,88.94003678674135,B
TARTE FRAISE 6P,2418.0,476823.0000000001,89.39335622677748,B
PT NANTAIS,2367.5,479190.5000000001,89.83720807718507,B
SPECIAL BREAD KG,2271.6,481462.1000000001,90.26308088114952,B
FLAN,2231.2000000000003,483693.3000000001,90.68137961341117,B
MILLES FEUILLES,2206.7,485900.0000000001,91.09508515862528,B
QUIM BREAD,2174.7,488074.7000000001,91.50279143912428,B
FICELLE,2145.7,490220.40000000014,91.9050608859752,B
TARTE FRAISE 4PER,2144.0,492364.40000000014,92.30701162188812,B
SACHET VIENNOISERIE,2048.0,494412.40000000014,92.6909645636557,B
BANETTINE,1956.6,496369.0000000001,93.05778210558071,B
CAFE OU EAU,1936.0,498305.0000000001,93.42073762084537,B
DIVERS CONFISERIE,1804.43,500109.4300000001,93.75902678427977,B
FRAISIER,1716.0,501825.4300000001,94.080737354628,B
GAL FRANGIPANE 4P,1712.0,503537.4300000001,94.40169801688684,B
FLAN ABRICOT,1708.0,505245.4300000001,94.72190877105628,B
GAL FRANGIPANE 6P,1536.0,506781.4300000001,95.00987347738196,C
NANTAIS,1527.5,508308.9300000001,95.29624462901769,C
ROYAL 6P,1269.0,509577.9300000001,95.5341529703766,C
GD FAR BRETON,1256.0,510833.9300000001,95.769624110445,C
PLAT 8.30E,1220.1000000000001,512054.0300000001,95.9983648254111,C
GD NANTAIS,1088.0,513142.0300000001,96.20233982572513,C
TROPEZIENNE,1037.3,514179.3300000001,96.39680974100614,C
ROYAL 4P,984.0,515163.3300000001,96.58128713099603,C
SAVARIN,943.7,516107.0300000001,96.75820919698532,C
NOIX JAPONAISE,925.9,517032.9300000001,96.93179417197683,C
ROYAL,893.5,517926.4300000001,97.09930489144428,C
BOULE POLKA,868.0,518794.4300000001,97.26203494684185,C
DIVERS SANDWICHS,829.92,519624.3500000001,97.41762587722846,C
DIVERS BOULANGERIE,823.45,520447.8000000001,97.57200383128045,C
FONDANT CHOCOLAT,795.0,521242.8000000001,97.72104806404668,C
GAL POMME 4P,792.0,522034.8000000001,97.86952986574585,C
PLAT 7.00,784.0,522818.8000000001,98.01651185126626,C
GAL POMME 6P,744.0,523562.8000000001,98.15599475589276,C
12 MACARON,700.0,524262.8000000001,98.28722867153597,C
GACHE,650.0,524912.8,98.4090887360618,C
CHOU CHANTILLY,547.9,525460.7000000001,98.51180739660597,C
DEMI BAGUETTE,538.95,525999.65,98.61284813780013,C
TARTE FINE,462.0,526461.65,98.69946252212465,C
PALET BRETON,341.3,526802.9500000001,98.76344842985183,C
ST HONORE,335.5,527138.4500000001,98.82634697084941,C
FRAMBOISIER,334.0,527472.4500000001,98.88896429631345,C
BAGUETTE APERO,310.5,527782.9500000001,98.94717591175234,C
RELIGIEUSE,297.5,528080.4500000001,99.00295032590071,C
SUCETTE,277.2,528357.65,99.05491895649541,C
VIENNOISE,239.8,528597.4500000001,99.09987594645433,C
MACARON,231.0,528828.4500000001,99.14318313861659,C
PAIN S/SEL,222.0,529050.4500000001,99.18480303757772,C
CARAMEL NOIX,208.79999999999998,529259.2500000001,99.22394823984388,C
TRIANGLES,205.0,529464.2500000001,99.2623810294251,C
PAILLE,199.5,529663.7500000001,99.29978269538343,C
DIVERS BOISSONS,199.5,529863.2500000001,99.33718436134174,C
SABLE F  P,196.8,530060.0500000002,99.37407983933973,C
SACHET DE CROUTON,196.8,530256.8500000002,99.41097531733772,C
GRANDE SUCETTE,192.0,530448.8500000002,99.44697090562843,C
GAL POIRE CHOCO 4P,192.0,530640.8500000002,99.48296649391914,C
DELICETROPICAL,183.0,530823.8500000002,99.51727478900872,C
GAL POIRE CHOCO 6P,180.0,531003.8500000002,99.55102065303126,C
BUCHE 6PERS,168.0,531171.8500000002,99.58251679278564,C
BUCHE 4PERS,154.0,531325.8500000002,99.61138825422714,C
TARTELETTE CHOC,152.5,531478.3500000002,99.63997850013513,C
ENTREMETS,133.0,531611.3500000002,99.66491294410733,C
CHOCOLAT,123.0,531734.3500000002,99.68797261785608,C
"PLATPREPARE7,00",119.0,531853.3500000002,99.71028238351542,C
BROWNIES,115.0,531968.3500000002,99.73184224108537,C
BRIOCHE DE NOEL,114.0,532082.3500000002,99.75321462163298,C
DEMI PAIN,105.05,532187.4000000003,99.7729090828306,C
BOTTEREAU,88.5,532275.9000000003,99.78950079930834,C
FORMULE PLAT PREPARE,88.0,532363.9000000003,99.80599877727492,C
PAIN DE MIE,80.0,532443.9000000003,99.82099693906271,C
REDUCTION SUCREES 12,80.0,532523.9000000003,99.83599510085051,C
NID DE POULE,72.5,532596.4000000003,99.8495871849707,C
PLAQUE TARTE 25P,70.0,532666.4000000003,99.86271057653502,C
TROPEZIENNE FRAMBOISE,69.7,532736.1000000002,99.87577772499263,C
MERINGUE,65.0,532801.1000000002,99.88796373144521,C
BUCHE 8PERS,56.0,532857.1000000002,99.89846244469666,C
BRIOCHETTE,54.2,532911.3000000002,99.9086236993079,C
ECLAIR FRAISE PISTACHE,48.5,532959.8000000002,99.91771633489175,C
"PLATPREPARE6,50",45.5,533005.3000000002,99.92624653940855,C
PLAT,41.4,533046.7000000002,99.93400808813374,C
PT PLATEAU SALE,40.0,533086.7000000002,99.94150716902764,C
GD PLATEAU SALE,36.0,533122.7000000002,99.94825634183215,C
PAIN SUISSE PEPITO,33.6,533156.3000000002,99.95455556978303,C
GALETTE 8 PERS,32.0,533188.3000000002,99.96055483449814,C
CRUMBLE,26.0,533214.3000000002,99.96542923707918,C
CRUMBLECARAMEL OU PISTAE,18.0,533232.3000000002,99.96880382348142,C
"PLATPREPARE5,50",16.5,533248.8000000002,99.97189719435016,C
REDUCTION SUCREES 24,15.0,533263.8000000002,99.97470934968537,C
SAND JB,15.0,533278.8000000002,99.97752150502059,C
FINANCIER,14.7,533293.5000000001,99.98027741724907,C
FORMULE PATE,13.0,533306.5000000001,99.98271461853959,C
THE,10.5,533317.0000000001,99.98468312727424,C
GUERANDAIS,10.5,533327.5000000001,99.9866516360089,C
TULIPE,10.5,533338.0000000001,99.98862014474355,C
PATES,9.0,533347.0000000001,99.99030743794467,C
ARMORICAIN,7.5,533354.5000000001,99.99171351561228,C
PLAT 6.50E,6.5,533361.0000000001,99.99293211625752,C
PAIN GRAINES,6.1,533367.1000000001,99.99407572609384,C
TARTELETTE COCKTAIL,6.0,533373.1000000001,99.99520058822793,C
"PLATPREPARE6,00",6.0,533379.1000000001,99.99632545036201,C
PALMIER,6.0,533385.1000000001,99.9974503124961,C
SACHET DE VIENNOISERIE,4.0,533389.1000000001,99.99820022058549,C
CAKE,3.0,533392.1000000001,99.99876265165253,C
DOUCEUR D HIVER,3.0,533395.1000000001,99.99932508271957,C
TROIS CHOCOLAT,3.0,533398.1000000001,99.99988751378662,C
PAIN NOIR,0.6,533398.7000000001,100.00000000000003,C
