month,demand_harina,demand_agua,demand_leche,demand_levadura,demand_sal,demand_manteca,demand_azucar,demand_chocolate
Enero,468.23566999999997,227.75407,34.93528,7.953600000000001,6.74054,35.05839,9.06878,30.7345
Febrero,581.95317,283.97307,53.71778,9.7874,8.40854,46.66689,14.66188,38.7345
Marzo,580.74067,276.48057,60.40528,9.8034,8.300040000000001,50.90689,15.79585,47.2345
Abril,719.89567,353.45407,73.92528,12.1198,10.435540000000001,61.51039,19.67871,51.8095
Mayo,757.65208,369.10454,71.39397,12.74891,10.95594,61.272400000000005,18.87728,50.57092
Junio,802.79351,371.74158,64.61098,13.39073,11.31265,62.17636,15.436,49.79964
Julio,1270.356,630.9469,122.44455,21.3511,18.46221,99.63367,32.49341,77.94583
Agosto,1637.73421,823.39653,174.97349,27.53805,24.08584,133.20216,46.39016,110.84401
Septiembre,780.10641,362.50615000000005,64.82309,13.10855,11.00007,59.79132,15.74991,45.719
Octubre,680.8688000000001,328.01367999999997,66.69633999999999,11.43668,9.80644,56.31126999999999,17.44065,48.5814
Noviembre,572.4406700000001,277.55057,52.53028,9.5799,8.25529,46.65689,14.58422,39.26575
Diciembre,487.10317,235.00807,39.58028,8.25865,7.01379,38.08189,10.41231,33.64075
